ሰላማዊ	ሰላ+ማዊ
ኣይናቱን	ኣይ+ናቱ+ን
ኣይመፀን	ኣይ+መፀ+ን
ኣይጥዑምን	ኣይ+ጥዑም+ን
ጉቦኛ	ጉቦ+ኛ
ደመኛ	ደ+መኛ
ጉረኛ	ጉ+ረኛ
ቂመኛ	ቂ+መኛ
ወረኛ	ወረ+ኛ
ሰንካም	ሰን+ካም
ህልኸኛ	ህል+ኸኛ
ማሕበራዊ	ማሕበ+ራዊ
ጥበበኛ	ጥበ+በኛ
ጥበባዊ	ጥበ+ባዊ
ተፈጥሮኣዊ	ተፈጥሮ+ኣዊ
በለፀኛ	በለ+ፀኛ
ተንኮለኛ	ተንኮለ+ኛ
መርከበኛ	መርከ+በኛ
ባሕረኛ	ባሕ+ረኛ
ዓመፀኛ	ዓመ+ፀኛ
ኣፍሪካዊ	ኣ+ፍሪካ+ዊ
ኢትዮዽያዊ	ኢትዮዽያ+ዊ
ኢትዮዽያዊት	ኢትዮ+ዽያዊት
ትግራዋይ	ትግራ+ዋይ
ትግራዋይነት	ትግራ+ዋይነት
ግብራም	ግ+ብራም
ፍቅረኛ	ፍቅ+ረኛ
ፍትሓዊ	ፍት+ሓዊ
በደለኛ	በደ+ለኛ
ኣይደንቅን	ኣይ+ደን+ቅን
ዘይፍትሓዊ	ዘይ+ፍት+ሓዊ
ዘይልሙድ	ዘይ+ልሙድ
ፍትሓዊነት	ፍት+ሓዊነት
ርትዓዊ	ርት+ዓዊ
ሰባት	ሰ+ባት
ዘይ-ሰባት	ዘይ+-ሰ+ባት
እምባታት	እምባ+ታት
ሰእሊታት	ሰ+እሊታት
ሃገራት	ሃገ+ራት
ሰማያት	ሰማ+ያት
ኢ-ልበወለድ	ኢ+-ልበወለድ
ዘይምዕሩይ	ዘይ+ምዕሩይ
ኣይሰበረን	ኣይ+ሰበረ+ን
ኣይወደአን	ኣይ+ወደአ+ን
ኣይጀመረን	ኣይ+ጀመረ+ን
ዝራብዓት	ዝራ+ብዓት
መምህራን	መምህ+ራን
መዛምራን	መ+ዛምራን
ምእመናን	ም+እመናን
በላዕቲ	በላ+ዕቲ
መሃዝቲ	መሃ+ዝቲ
ቀተልቲ	ቀ+ተልቲ
ሰፈይቲ	ሰ+ፈይቲ
ክቡራት	ክቡ+ራት
በሉፃት	በሉ+ፃት
ለባማት	ለባ+ማት
ሕሩያት	ሕሩ+ያት
ብዱላት	ብዱ+ላት
ሰነፋት	ሰነ+ፋት
ጎበዛት	ጎበ+ዛት
ህኩያት	ህ+ኩያት
ወጣማት	ወጣ+ማት
ወታፋት	ወታ+ፋት
ግናያት	ግና+ያት
ርጉማት	ርጉ+ማት
ሰንካማት	ሰንካ+ማት
ጥንቁያት	ጥ+ንቁያት
ዉሩያት	ዉሩ+ያት
ተምብየነቶት	ተም+ብየነቶት
ተምቤናይ	ተምቤ+ናይ
ሽረቶት	ሽረ+ቶት
ሽረታይ	ሽረ+ታይ
ሓመዳዋይ	ሓመ+ዳዋይ
ሓመደቶት	ሓመደ+ቶት
ሓውዜነተይ	ሓውዜ+ነተይ
ሓውዜነቶት	ሓውዜነ+ቶት
ዓጋመታይ	ዓጋመ+ታይ
ዓጋመቶት	ዓጋመ+ቶት
ሓረስታይ	ሓረስ+ታይ
ሓረስቶት	ሓረስ+ቶት
ዘመነዋይ	ዘመ+ነዋይ
ዘመነቶት	ዘመ+ነቶት
ራየታይ	ራ+የታይ
ራየቶት	ራየ+ቶት
ኣፍራስ	ኣ+ፍራስ
ኣእማን	ኣ+እ+ማን
ኣእዛን	ኣ+እ+ዛን
ስበኡን	ስ+በኡን
ክዳወንቲ	ክዳ+ወንቲ
ደርሁ	ደር+ሁ
ኣባጊዕ	ኣ+ባጊዕ
ቆልዑ	ቆል+ዑ
ሰሚዖም	ሰ+ሚዖም
ዘይሰምዑ	ዘይ+ሰምዑ
ሰባራይ	ሰባ+ራይ
ሰባሪት	ሰባ+ሪት
ዘይሰበር	ዘይ+ሰበር
ሰበረኒ	ሰ+በረኒ
ዝዓበየ	ዝ+ዓ+በየ
ዝሓፀረ	ዝ+ሓ+ፀረ
ዝበለሐ	ዝ+በ+ለሐ
ዝሰነፈ	ዝ+ሰነ+ፈ
ዝሓየለ	ዝ+ሓ+የለ
ዝነወሐ	ዝ+ነ+ወሐ
ዝፀለመ	ዝ+ፀ+ለመ
ዝሓበለ	ዝ+ሓ+በለ
ዝሓመደ	ዝ+ሓ+መደ
ዝበልዕ	ዝ+በ+ልዕ
ከንቱነት	ከንቱ+ነት
መዝነት	መ+ዝነት
ምስክርነት	ምስክር+ነት
መርዝነት	መር+ዝነት
ሰላማነት	ሰላማ+ነት
መርዛምነት	መርዛም+ነት
ሰብኣውነት	ሰብኣ+ውነት
ፍፁምነት	ፍፁም+ነት
ተጠዋርነት	ተጠዋ+ርነት
ዓረብኛ	ዓረብ+ኛ
እንግሊዝኛ	እንግሊዝ+ኛ
ጣልያንኛ	ጣልያን+ኛ
ትሕዝቶ	ት+ሕዝ+ቶ
ምጭሓም	ም+ጭ+ሓም
ምሕላም	ም+ሕ+ላም
ጠብላሕታ	ጠብላሕ+ታ
ፍሽክታ	ፍሽ+ክታ
ስክፍታ	ስክፍ+ታ
ካናዳዊ	ካናዳ+ዊ
ሰማያዊ	ሰማ+ያዊ
ልባዊ	ል+ባዊ
መርዛም	መር+ዛም
ከብዳም	ከብ+ዳም
ጠንቃም	ጠ+ንቃም
ጥቅመኛ	ጥቅ+መኛ
መልክዐኛ	መልክ+ዐኛ
ቀፅላዋይ	ቀፅ+ላዋይ
ሓመደዋይ	ሓመ+ደዋይ
ዓዲጉላ	ዓዲጉ+ላ
በሳላት	በ+ሳላት
ምሩፃት	ምሩ+ፃት
ዘይትከድ	ዘይ+ትከድ
ነገራት	ነገ+ራት
ሃፍታማት	ሃፍ+ታማት
ገሃማት	ገሃ+ማት
ዓቀይቶት	ዓቀይ+ቶት
ዘይትሰምዕ	ዘይ+ትሰምዕ
ዘይትርኢ	ዘይ+ትርኢ
መሪሕነት	መሪሕ+ነት
መራሕቶም	መራሕ+ቶም
ሰዓብቶም	ሰዓብ+ቶም
ዘይከይድ	ዘይ+ከይድ
ተወዳደርቲ	ተወዳ+ደርቲ
ሰዓብቲ	ሰዓ+ብቲ
ፈተንቲ	ፈተ+ንቲ
ፀሓፍቲ	ፀሓፍ+ቲ
መክበርቲ	መክ+በርቲ
መክበርቶም	መክበር+ቶም
ኣክበርቶም	ኣ+ክ+በርቶም
ኣብትርቲ	ኣ+ብት+ርቲ
መልከኛ	መል+ከኛ
ዝወደቐ	ዝ+ወደቐ
ውርደት	ውርደ+ት
ዕሊኢት	ዕሊኢ+ት
አይቐርን	አይቐር+ን
ክእለት	ክእለ+ት
ጥፍኣት	ጥፍ+ኣት
ጨንጊት	ጨንጊ+ት
