የኦነግ	የ+ኦነግ
ይላል	ይ+ላል
አክራሪነት	አ+ክ+ራሪነት
የውጭና	የ+ው+ጭና
በአዲስ	በ+አዲስ
ሁላችሁም	ሁ+ላችሁ+ም
ለሀገራችን	ለ+ሀገ+ራችን
ለጥቃቅንና	ለ+ጥቃቅን+ና
ለፈረንጅ	ለ+ፈረንጅ
ሊወጋን	ሊ+ወጋን
ልጆቻችን	ል+ጆቻችን
ሕያዊቷ	ሕያ+ዊቷ
መንግስትም	መ+ን+ግስት+ም
መግለጫ	መ+ግ+ለጫ
መጽሐፈ	መ+ጽሐፈ
ማህበሩ	ማ+ህ+በሩ
ምነው	ም+ነው
ምኒልክብለው	ምኒልክ+ብለው
ምንን	ምን+ን
ምዕመናን	ምዕመ+ናን
ሰባተኛ	ሰባ+ተኛ
ስትራቴጂው	ስትራቴጂ+ው
በላይ	በ+ላይ
በሚሌኒየም	በ+ሚሌኒየም
በምርት	በ+ምርት
በስነ	በ+ስነ
በቀጣይ	በ+ቀጣይ
በቦንድ	በ+ቦንድ
በአገር	በ+አገር
በአጉል	በ+አጉል
በኢትዮጵያና	በ+ኢትዮጵያ+ና
በክልሉ	በ+ክ+ልሉ
በግምገማ	በ+ግ+ምገማ
በጠቅላይ	በ+ጠቅላይ
በፍቅር	በ+ፍቅር
በልማት	በ+ል+ማት
ቤተክርስትያኗ	ቤተክርስትያ+ኗ
በትግራይ	በ+ትግራይ
ችግሩ	ች+ግሩ
ብሎ	ብ+ሎ
ቦንዱን	ቦን+ዱን
ታሪክና	ታሪክ+ና
ኅብረተሰቡ	ኅብረተሰ+ቡ
ንጉስም	ን+ጉስም
አላቸው	አ+ላቸው
አስተዳደር	አስ+ተዳደር
አስቸኳይ	አስ+ቸኳይ
አባቴን	አባ+ቴን
አይቻልም	አይ+ቻል+ም
አገሩንም	አገ+ሩን+ም
አገሩንና	አገ+ሩን+ና
አገሬ	አገ+ሬ
ኢንስቲትዩቱ	ኢንስቲትዩ+ቱ
እለቱ	እለ+ቱ
እርስዎንም	እርስዎ+ን+ም
እስካሁን	እስ+ካሁን
እቤቴ	እ+ቤ+ቴ
እኔንስ	እኔ+ን+ስ
እንኳን	እንኳ+ን
እንደገና	እንደ+ገና
እንግዲህ	እንግዲ+ህ
እገሌና	እገሌ+ና
ከህዝብና	ከ+ህዝብ+ና
ከቅርብ	ከ+ቅርብ
ከዚህ	ከ+ዚህ
ካርታውን	ካርታ+ውን
ክትባት	ክ+ትባት
ክፉ	ክ+ፉ
ወደፊትም	ወደ+ፊት+ም
ወጣቶቹ	ወጣ+ቶቹ
ውይይት	ው+ይይት
የህዝብን	የ+ህዝብ+ን
የመንገድ	የ+መንገድ
የሚያተርፈው	የ+ሚ+ያተርፈው
የማይደርስ	የ+ማይደር+ስ
የራበኽ	የ+ራበኽ
የሲዳማ	የ+ሲዳማ
የስራ	የ+ስራ
የቅዱስ	የ+ቅዱስ
የተሀድሶ	የ+ተሀድ+ሶ
የተኩማ	የ+ተኩማ
የቲቢ	የ+ቲቢ
የትምህርት	የ+ትምህርት
የአማራውን	የ+አማራ+ውን
የአቅማችንን	የ+አቅ+ማችንን
የአቅም	የ+አቅም
የእናቶችና	የ+እና+ቶች+ና
የእንኳን	የ+እንኳ+ን
የወታደሮች	የ+ወታደ+ሮች
የውሃ	የ+ውሃ
የዜግነት	የ+ዜ+ግነት
የግሉ	የ+ግ+ሉ
የግደቡ	የ+ግ+ደቡ
የፌዴሬሽኑ	የ+ፌዴሬሽ+ኑ
የፍላጎት	የ+ፍ+ላጎት
ያሉት	ያ+ሉት
ይሄንን	ይሄ+ንን
ይህም	ይህ+ም
ይልና	ይ+ል+ና
ይዟቸው	ይ+ዟቸው
ደሕንነትህ	ደሕንነት+ህ
ደንበኛ	ደን+በኛ
ጀግንነት	ጀግ+ንነት
ገንዘቡ	ገንዘ+ቡ
ግንዛቤ	ግ+ንዛቤ
ጦሩ	ጦ+ሩ
ዳግማዊ	ዳግ+ማዊ
ለእስክንድር_ነጋ	ለ+እስክንድር_ነጋ
በጠቅላይ_ሚኒስትር	በ+ጠቅላይ_ሚኒስትር
ባለቤትነት	ባለቤት+ነት
ሊያፍነን	ሊ+ያፍ+ነን
በየካቲት	በ+የካቲት
ብዙ	ብ+ዙ
አይሆንም	አይ+ሆን+ም
እንውጋው	እን+ው+ጋው
ከህዳር	ከ+ህዳር
ከሸዋ	ከ+ሸዋ
ክረምቱን	ክረም+ቱን
የደብረ	የ+ደብረ
ጃንሆይም	ጃንሆይ+ም
ሌሊቱን	ሌሊ+ቱን
በህዳር	በ+ህዳር
በሰኔ	በ+ሰኔ
እንደዚህ	እንደ+ዚህ
በሚሌኒየሙ	በ+ሚሌኒየ+ሙ
በሥሩ	በ+ሥ+ሩ
ችግሩን	ች+ግሩን
ከአማራ	ከ+አማራ
ወቅቱ	ወቅ+ቱ
የማሽኑ	የ+ማሽ+ኑ
የቴክኒክና	የ+ቴክኒክ+ና
የከተሞች	የ+ከተሞች
የኪራይ	የ+ኪራይ
የዓለም	የ+ዓለም
ለችግሩ	ለ+ች+ግሩ
ማድረግ	ማ+ድረግ
በኮምፒውተር	በ+ኮምፒውተር
ተፈጥሮ	ተ+ፈጥ+ሮ
ተፈጥሮን	ተ+ፈጥ+ሮን
የሰላምን	የ+ሰላም+ን
የነፋስ	የ+ነፋስ
የኢትዮጵያ	የ+ኢትዮጵያ
የፌዴራል	የ+ፌዴራል
የጂማ	የ+ጂማ
የኢጣሊያ	የ+ኢጣሊያ
ከመላው	ከ+መላ+ው
33ኛውን	33ኛ+ውን
4ኛው	4ኛ+ው
ለምሳሌ	ለ+ምሳሌ
ህወሓትባለፉት	ህወሓት+ባለፉት
ህዋሳትን	ህዋ+ሳትን
3ዜጎች	3ዜ+ጎች
ለዐጤ	ለ+ዐጤ
ለጥልያን	ለ+ጥልያን
ሊፍትም	ሊፍት+ም
ሌላው	ሌላ+ው
ሎሌአቸው	ሎሌ+አቸው
ሕይወታቸው	ሕይወ+ታቸው
መንግሥት	መ+ን+ግሥት
መከላከያ	መ+ከላከያ
መወጣጫዎች	መ+ወጣጫ+ዎች
ምናልባትም	ምናልባት+ም
ምንም	ምን+ም
ሦስተኛው	ሦስ+ተኛው
ርዝመት	ር+ዝመት
ሰቅዛ	ሰቅ+ዛ
ሱፐርቫዘሮች	ሱፐርቫ+ዘሮች
ስንቅና	ስ+ንቅና
ቃላዊ	ቃ+ላዊ
ቅንጅትና	ቅ+ንጅት+ና
ቅንጅት	ቅ+ንጅት
ቅድመ	ቅ+ድመ
በመላው	በ+መላ+ው
በቅርሱ	በ+ቅር+ሱ
በባንኩ	በ+ባን+ኩ
በኋላ	በ+ኋላ
በአሁኑ	በ+አሁ+ኑ
በእክስጉሥ	በ+እክስጉሥ
በከፍተኛ	በ+ከ+ፍተኛ
በኮብል	በ+ኮብል
በዚህች	በ+ዚህ+ች
በግምት	በ+ግምት
በጎራዴ	በ+ጎራዴ
በፌደራል	በ+ፌደራል
በፒኤችዲ	በ+ፒኤችዲ
ብሄራቸውን	ብሄ+ራቸውን
ብሉ	ብ+ሉ
ተመሳክሮ	ተ+መሳክ+ሮ
ተሰጥኦ	ተ+ሰጥ+ኦ
አረፋ	አረ+ፋ
አቃጥላለሁ	አ+ቃጥላለሁ
✍ከምዕራብ	✍ከ+ምዕራብ
አነስተኛ	አነስ+ተኛ
አንትሮፖሎጂስቶች	አንትሮፖሎጂስ+ቶች
አንድም	አንድ+ም
አንድነት	አንድ+ነት
አካታች	አ+ካታች
አዝማሪዎች	አ+ዝ+ማሪዎች
አፍሪካን	አፍሪካ+ን
አምላካችን	አምላ+ካችን
ኢስታይዎንን	ኢስታይዎን+ን
ኤቲኤምተገጥሞለት	ኤቲኤም+ተገጥሞለት
እንዲሁም	እንዲ+ሁ+ም
ከርስታቸው	ከ+ርስ+ታቸው
ከቅርሱ	ከ+ቅር+ሱ
ከታህሳስ	ከ+ታህሳስ
ከአራት	ከ+አራት
ከእኤአ	ከ+እኤአ
ከጥቂት	ከ+ጥቂት
ኹለተኛው	ኹለ+ተኛው
ዋኢማ-ቀመጫቸውን	ዋኢማ+-ቀመጫቸውን
ዋኢማ-24ኛው	ዋኢማ+-24ኛው
ዋኢማ-መረጃን	ዋኢማ+-መረጃን
ዋኢማ-መንግስት	ዋኢማ+-መንግስት
ዋኢማ-የህዝባዊ	ዋኢማ+-የህዝባዊ
ዋኢማ-የአፍሪካን	ዋኢማ-የአፍሪካ+ን
ዋኢማ-የፊታችን	ዋኢማ+-የፊታችን
ዙርያ	ዙር+ያ
ዝክረ	ዝ+ክረ
የልምምጥ	የ+ልምምጥ
የሕማማት	የ+ሕማ+ማት
የሕዝብ	የ+ሕዝብ
የሚካኤል	የ+ሚካኤል
የሚፈለፈሉት	የ+ሚ+ፈለፈሉት
የረመዳን	የ+ረመዳን
የራሳቸውን	የ+ራ+ሳቸውን
የራስ	የ+ራስ
የሰላማዊ	የ+ሰላ+ማዊ
የሰዓት	የ+ሰዓት
የቀድሞው	የ+ቀድ+ሞው
የበላይ	የ+በላይ
የባቡር	የ+ባቡር
የባቡርም	የ+ባቡር+ም
የቤት	የ+ቤት
የንግድ	የ+ንግድ
የአሁኑ	የ+አሁ+ኑ
የአማርኛ	የ+አማርኛ
የአሶሣ	የ+አሶሣ
የአክሱም	የ+አክሱም
የአገሬው	የ+አገ+ሬው
የአፍሪካ	የ+አፍሪካ
የእድገትና	የ+እ+ድገት+ና
የኮምፒዩተር	የ+ኮምፒዩተር
የወርቅ	የ+ወርቅ
የውስጥ	የ+ውስጥ
የዐፄ	የ+ዐፄ
የይሁዳንና	የ+ይሁዳን+ና
የደብረወርቅ	የ+ደብረወርቅ
የግሪክ	የ+ግሪክ
የፍስክ	የ+ፍስክ
ዩኒቨርሲቲዎች	ዩኒቨርሲቲ+ዎች
ይኸም	ይኸ+ም
ይድነቃቸው	ይ+ድነቃቸው
በሀገራችን	በ+ሀገ+ራችን
ጃይካገለጸ	ጃይካ+ገለጸ
ገመናውን	ገመና+ውን
ግዛቱ	ግ+ዛቱ
ጥልያንን	ጥልያን+ን
ጥቅሱ	ጥ+ቅሱ
ጸጥታ	ጸጥ+ታ
ፈረሰኛ	ፈረ+ሰኛ
ፈረስና	ፈረስ+ና
ፎቶዎቹን	ፎቶ+ዎቹን
ፓስወርዳቸውን	ፓስ+ወርዳቸውን
እቴጌም	እቴጌ+ም
ጌታችን	ጌታ+ችን
በጋምቤላ	በ+ጋምቤላ
ወዳገራቸው	ወ+ዳገ+ራቸው
ንግሥተ	ን+ግሥተ
ጉዞአቸውን	ጉዞአቸው+ን
በምሁራኑ	በ+ምሁ+ራኑ
-በኢትዮጵያ	-በ+ኢትዮጵያ
ሰላምና	ሰላም+ና
ከአሰላ	ከ+አሰላ
------የአየር	------የ+አየር
------የኢትዮጵያ	------የ+ኢትዮጵያ
----በሥልጣናቸው	----በ+ሥ+ልጣናቸው
---ህብረቱ	-+--ህብረቱ
---ህጎችን	---ህ+ጎችን
---ለለውጥ	---ለ+ለውጥ
---ለመልካም	---ለ+መልካም
---ለመፍጠር	---ለ+መፍ+ጠር
---ለሚከሰቱ	---ለ+ሚ+ከሰቱ
---ለማስገንዘብ	---ለ+ማስገን+ዘብ
---ለሽልማት	---ለ+ሽ+ልማት
---ለአገር	---ለ+አገር
---ለአፍሪካ	---ለ+አፍሪካ
---ለዕቅድ	---ለ+ዕቅድ
---ለዚህም	---ለ+ዚህ+ም
---ለዲያስፖራው	---ለ+ዲያስፖራ+ው
---ሉአላዊነት	---ሉአላዊ+ነት
---ሊኖር	---ሊ+ኖር
---ሌሎች	---ሌ+ሎች
---ልማት	-+--ልማት
---መሪ	-+--መሪ
---መሪዎች	-+--መሪዎች
---መስራት	---መ+ስ+ራት
---መብትና	---መብት+ና
---መንገዶች	---መንገ+ዶች
---መንግስት	---መ+ን+ግስት
---መኖሪያቸውን	---መ+ኖሪያቸው+ን
---መደበኛ	-+--መደበኛ
---መግለጫው	---መ+ግ+ለጫው
---መጠናከር	---መ+ጠናከር
---መፍትሄዎችን	---መፍትሄ+ዎችን
---ሚኒስትሩ	---ሚኒስት+ሩ
---ማክበር	---ማ+ክበር
---ማድረግ	---ማ+ድረግ
---ሥራ	-+--ሥራ
---ሥራውን	-+--ሥራውን
---ሥርአቱ	---ሥርአ+ቱ
---ስምምነት	-+--ስምምነት
---ሸለመ	-+--ሸለመ
---ሽልማቱን	-+--ሽልማቱን
---ቀዳሚ	-+--ቀዳሚ
---ቅንጅት	-+--ቅንጅት
---ቆይቷል	-+--ቆይቷል
---በሁለተኛው	---በ+ሁለ+ተኛው
---በህብረተሰቡ	---በ+ህብረተሰ+ቡ
---በላይ	---በ+ላይ
---በመምረጥ	---በ+መም+ረጥ
---በሚል	---በ+ሚል
---በሚኖሩባቸው	---በ+ሚ+ኖሩባቸው
---በሺዎች	---በ+ሺ+ዎች
---በሽልማት	---በ+ሽ+ልማት
---በቀጣይ	---በ+ቀጣይ
---በቅንጅት	---በ+ቅ+ንጅት
---በበኩላቸው	---በ+በኩ+ላቸው
---በበዓሉ	---በ+በዓ+ሉ
---በባህርዳር	---በ+ባህርዳር
---በትብብር	---በ+ትብብር
---በንግድ	---በ+ንግድ
---በአዲስ	---በ+አዲስ
---በአገሩ	---በ+አገ+ሩ
---በአፍሪካ	---በ+አፍሪካ
---በአፍሪካዊያን	---በ+አፍሪካዊያን
---በእጃችን	---በ+እ+ጃችን
---በዓልም	---በዓል+ም
---በጉባኤው	---በ+ጉባኤ+ው
---በጥሩ	---በ+ጥሩ
---ባለስልጣን	---ባለ+ስልጣን
---ቤቱ	---ቤ+ቱ
---ብለዋል	-+--ብለዋል
---ብሏል	---ብ+ሏል
---ተሳትፎው	---ተ+ሳት+ፎው
---ተሸልመዋል	---ተ+ሸል+መዋል
---ተቀብለውላቸዋል	---ተ+ቀብ+ለውላቸዋል
---ተችሏል	---ተ+ች+ሏል
---ተደርጓል	---ተ+ደር+ጓል
---ተግባራት	-+--ተግባራት
---ተጠናክሮ	---ተ+ጠናክ+ሮ
---ትኩረት	-+--ትኩረት
---ትውልደ	---ት+ው+ልደ
---ችግሮች	-+--ችግሮች
---አህጉራዊ	---አህጉ+ራዊ
---አልበሽርን	---አልበሽር+ን
---አመልክቷል	---አ+መል+ክቷል
---አስተዋዕኦ	---አስ+ተዋዕ+ኦ
---አስተዳደርም	---አስ+ተዳደር+ም
---አብዛኛው	---አ+ብ+ዛኛው
---አይችልምና	-+--አይችልምና
---አድርጓል	---አ+ድ+ርጓል
---አገራት	---አገ+ራት
---አገራዊ	---አገ+ራዊ
---አገናኝ	---አ+ገናኝ
---አጠቃላይ	---አ+ጠቃላይ
---አፈፃፀም	---አ+ፈፃፀም
---አፋጥኖ	---አ+ፋጥ+ኖ
---አፍሪካን	---አፍሪካ+ን
---አፍሪካዊ	---አፍሪካ+ዊ
---አፍሪካዊያን	---አፍሪካ+ዊያን
---ኢትዮጵያውያን	---ኢትዮጵያ+ውያን
---ኢትዮጵያውያንና	---ኢትዮጵያ+ው+ያንና
---ኢንስቲትዩትበመንግስታቱ	---ኢንስቲትዩትበ+መንግስታቱ
---ኢንቨትስመንትና	---ኢንቨትስመንት+ና
