ናዊ	ና+ዊ
ንና	ን+ና
ኖት	ኖ+ት
ላዊ	ላ+ዊ
ንን	ን+ን
ዘምጽ	ዘ+ምጽ
ዘምጸ	ዘ+ምጸ
ለንስ	ለ+ንስ
ዘረባ	ዘ+ረባ
ዘራረ	ዘ+ራረ
ዓወት	ዓወ+ት
ሎት	ሎ+ት
ዘርኣ	ዘ+ር+ኣ
ዘርእ	ዘ+ርእ
ልን	ል+ን
ሉታዊ	ሉታ+ዊ
ለንት	ለ+ን+ት
ለንን	ለ+ን+ን
ልና	ል+ና
ዙሓት	ዙሓ+ት
ዘርጊ	ዘ+ርጊ
ንላዕ	ን+ላዕ
ንኩ	ን+ኩ
ዕናን	ዕና+ን
ቐረት	ቐረ+ት
ንሓለ	ን+ሓለ
ንልዕ	ን+ልዕ
ንመር	ን+መር
ልኡ	ል+ኡ
ኒታት	ኒ+ታት
ንኪ	ን+ኪ
ንካ	ን+ካ
ንሓን	ን+ሓ+ን
ንምሃ	ን+ምሃ
ንመን	ን+መ+ን
ንምም	ን+ም+ም
ለኩም	ለ+ኩ+ም
ንሓደ	ን+ሓደ
ንምት	ን+ም+ት
ልኩ	ል+ኩ
ንምን	ን+ም+ን
ንምእ	ን+ምእ
ለክት	ለ+ክ+ት
ልኦ	ል+ኦ
ንምስ	ን+ምስ
ዞም	ዞ+ም
ንምር	ን+ምር
ንምቁ	ን+ምቁ
ለካቲ	ለ+ካቲ
ቓት	ቓ+ት
ንምግ	ን+ምግ
ልኪ	ል+ኪ
ልካ	ል+ካ
ንምዕ	ን+ምዕ
ንምው	ን+ምው
ልምም	ልም+ም
ሎና	ሎ+ና
ቖም	ቖ+ም
ንምፍ	ን+ምፍ
ዚኣ	ዚ+ኣ
ልማት	ልማ+ት
ዕከና	ዕከ+ና
ለኹም	ለ+ኹ+ም
ናብኡ	ናብ+ኡ
ሎን	ሎ+ን
ንራኸ	ን+ራኸ
ዓይን	ዓይ+ን
ጠት	ጠ+ት
ለኻኽ	ለ+ኻኽ
ንሳብ	ን+ሳብ
ንሳቶ	ን+ሳቶ
ንስሳ	ን+ስሳ
ንሳዊ	ን+ሳ+ዊ
ዛን	ዛ+ን
ንስኻ	ን+ስኻ
ንሳእ	ን+ሳእ
ንስት	ን+ስ+ት
ናታት	ና+ታት
ለወን	ለ+ወ+ን
ናትና	ናት+ና
